,Cities,Date,Country,Lat,Long,Humidity,Max_temp,Clouds,Wind
268,Ponta do Sol,2018-12-16,BR,-20.63,-46.0,95,68.11,56,1.7
269,Eyl,2018-12-16,SO,7.98,49.82,100,73.64,0,18.14
270,San Fernando,2018-12-16,CL,-34.58,-70.99,32,68.0,0,3.36
271,Sambava,2018-12-16,MG,-14.27,50.17,100,77.51,80,15.23
272,Brigantine,2018-12-16,US,39.41,-74.36,100,51.08,90,16.11
273,Maragogi,2018-12-16,BR,-9.01,-35.22,80,76.66,92,6.17
274,Fukue,2018-12-16,JP,35.03,136.69,52,44.6,40,4.7
275,Kabompo,2018-12-16,ZM,-13.6,24.21,98,65.23,92,4.38
276,Saint-Georges,2018-12-16,CA,46.12,-70.67,90,20.0,0,3.27
277,Luganville,2018-12-16,VU,-15.51,167.18,100,82.46,0,6.62
278,Kimbe,2018-12-16,PG,-5.56,150.15,97,85.3,8,7.18
279,Valle de Allende,2018-12-16,MX,26.94,-105.39,37,36.61,24,6.17
280,Chifeng,2018-12-16,CN,42.27,118.96,41,23.65,0,6.17
281,Comodoro Rivadavia,2018-12-16,AR,-45.87,-67.48,37,69.8,75,36.91
282,Bilibino,2018-12-16,RU,68.06,166.44,78,-39.04,56,2.15
283,Bafoulabe,2018-12-16,ML,13.81,-10.83,55,63.43,32,5.28
284,Maceio,2018-12-16,BR,-9.67,-35.74,83,73.4,0,5.39
285,Saint Joseph,2018-12-16,US,39.77,-94.85,39,46.94,1,4.7
286,Mayumba,2018-12-16,GA,-3.44,10.65,100,77.65,92,3.27
287,Belmonte,2018-12-16,PT,40.36,-7.35,97,51.05,92,8.75
288,Haines Junction,2018-12-16,CA,60.75,-137.51,75,-14.29,56,2.15
289,Ghatanji,2018-12-16,IN,20.14,78.32,57,62.3,0,10.65
290,Zhigansk,2018-12-16,RU,66.77,123.37,73,-6.51,68,9.75
291,Otane,2018-12-16,NZ,-39.89,176.62,81,68.69,0,3.83
292,Faanui,2018-12-16,PF,-16.48,-151.75,99,83.68,76,12.21
293,Ajdabiya,2018-12-16,LY,30.75,20.22,87,56.81,88,9.42
294,Koltubanovskiy,2018-12-16,RU,52.94,52.03,85,14.38,44,7.18
295,Metro,2018-12-16,ID,-5.11,105.31,75,87.23,8,10.09
296,Matamoros,2018-12-16,US,25.87,-97.51,83,55.4,1,4.7
297,Esmeraldas,2018-12-16,BR,-19.76,-44.31,47,75.2,0,8.05
298,Gagino,2018-12-16,RU,54.27,39.54,87,15.41,36,6.17
299,Jawhar,2018-12-16,IN,19.91,73.23,46,71.57,0,12.1
300,Hami,2018-12-16,CN,42.84,93.51,53,2.99,0,3.71
301,Castanas,2018-12-16,PH,13.88,121.55,100,77.65,92,19.15
302,Cedeno,2018-12-16,CO,7.05,-72.16,93,65.18,0,2.37
303,Muros,2018-12-16,ES,42.77,-9.06,100,51.8,40,3.36
304,Namatanai,2018-12-16,PG,-3.66,152.44,91,87.59,0,9.31
305,Santa Rosa,2018-12-16,AR,-36.62,-64.29,42,72.74,44,15.23
306,Sao Lourenco,2018-12-16,PT,39.01,-9.42,93,60.8,75,18.34
307,Arraial do Cabo,2018-12-16,BR,-22.97,-42.02,88,77.2,0,19.15
308,Houlton,2018-12-16,US,46.13,-67.84,85,30.02,1,7.63
309,Boshnyakovo,2018-12-16,RU,49.65,142.17,94,20.0,36,4.61
310,Sarab,2018-12-16,IR,38.61,44.99,73,18.16,0,2.59
311,Hauterive,2018-12-16,FR,46.09,3.45,66,53.6,75,11.41
312,Eastlake,2018-12-16,US,32.66,-116.98,86,60.98,1,3.36
313,Aksu,2018-12-16,KZ,52.04,76.93,92,12.2,0,4.47
314,Adrar,2018-12-16,DZ,27.87,-0.29,52,46.4,0,9.17
315,Narsaq,2018-12-16,GL,60.91,-46.05,63,15.77,80,3.6
316,Carnarvon,2018-12-16,ZA,-30.97,22.13,55,46.82,0,2.93
317,Codrington,2018-12-16,AU,-28.95,153.24,74,80.6,75,14.99
318,Zyryanka,2018-12-16,RU,65.73,150.89,0,-49.39,0,2.59
319,Den Helder,2018-12-16,NL,52.96,4.76,100,37.4,90,17.22
320,Vila Velha,2018-12-16,BR,-3.71,-38.6,78,80.6,75,9.17
321,Buin,2018-12-16,CL,-33.73,-70.74,42,66.2,0,9.17
322,Pangnirtung,2018-12-16,CA,66.15,-65.72,68,-1.6,68,2.93
323,Xiaolingwei,2018-12-16,CN,32.03,118.85,87,42.8,36,8.95
324,Pevek,2018-12-16,RU,69.7,170.27,100,-29.91,0,5.5
325,Kurilsk,2018-12-16,RU,45.23,147.88,100,35.71,88,16.58
326,Gorele,2018-12-16,TR,41.03,39.0,66,51.8,0,2.24
327,Saint Anthony,2018-12-16,US,43.97,-111.68,80,30.92,1,5.82
328,Slatioara,2018-12-16,RO,45.12,23.92,98,38.63,92,11.21
329,Coromandel,2018-12-16,NZ,-36.76,175.5,97,69.14,8,6.73
330,Yaan,2018-12-16,NG,7.38,8.57,79,66.58,0,2.93
331,Keetmanshoop,2018-12-16,NA,-26.57,18.15,22,63.83,0,2.37
332,Sibiti,2018-12-16,CG,-3.69,13.35,96,71.71,88,3.15
333,Barrhead,2018-12-16,CA,54.12,-114.4,62,23.0,1,11.41
334,Mizan Teferi,2018-12-16,ET,6.99,35.58,84,54.7,0,1.81
335,Bitola,2018-12-16,MK,41.03,21.33,100,33.55,76,2.37
336,Novooleksiyivka,2018-12-16,UA,48.49,32.24,90,22.88,88,9.31
337,Whitehorse,2018-12-16,CA,60.72,-135.06,77,3.2,90,2.24
338,Synya,2018-12-16,RU,65.37,58.04,96,34.04,88,9.19
339,Danville,2018-12-16,US,36.59,-79.4,100,47.48,90,2.37
340,Serdobsk,2018-12-16,RU,52.46,44.21,89,16.04,32,7.29
341,Castres,2018-12-16,FR,43.6,2.24,100,46.4,92,2.24
342,Naliya,2018-12-16,IN,23.26,68.83,59,53.71,20,12.66
343,Aloleng,2018-12-16,PH,16.13,119.78,88,85.43,0,2.93
344,Bialystok,2018-12-16,PL,53.13,23.15,89,25.94,88,12.21
345,Contai,2018-12-16,IN,21.78,87.75,100,69.14,92,15.01
346,Ouegoa,2018-12-16,NC,-20.34,164.44,61,83.5,64,6.96
347,Portland,2018-12-16,US,45.52,-122.67,54,48.92,90,6.93
348,Lavrentiya,2018-12-16,RU,65.58,-170.99,100,9.43,64,16.46
349,Buala,2018-12-16,SB,-8.15,159.59,100,80.12,56,2.71
350,Andra,2018-12-16,RU,62.52,65.89,89,22.21,88,6.17
351,Fairbanks,2018-12-16,US,64.84,-147.72,80,-9.23,75,3.27
352,Tura,2018-12-16,IN,25.52,90.21,81,62.57,92,5.17
353,Scarborough,2018-12-16,GB,54.28,-0.41,75,44.6,92,13.87
354,Ati,2018-12-16,TD,13.21,18.34,55,60.95,0,3.83
355,Rocha,2018-12-16,UY,-34.48,-54.34,73,55.64,0,6.4
356,Galle,2018-12-16,US,29.74,-97.91,53,51.98,1,5.82
357,Marsh Harbour,2018-12-16,BS,26.54,-77.06,98,79.13,64,11.65
358,Tripoli,2018-12-16,GR,37.51,22.37,87,36.7,44,0.81
359,Menongue,2018-12-16,AO,-14.66,17.68,34,79.36,92,5.39
360,Quatre Cocos,2018-12-16,MU,-20.21,57.76,73,77.0,40,16.11
361,Manzhouli,2018-12-16,CN,49.6,117.43,77,7.45,0,9.42
362,Charlestown,2018-12-16,US,41.38,-71.64,85,46.94,92,11.41
363,Ha Tinh,2018-12-16,VN,18.33,105.9,100,70.63,92,21.61
364,Sorland,2018-12-16,NO,67.67,12.69,100,39.31,0,9.86
365,Buta,2018-12-16,CD,2.79,24.73,85,73.33,44,2.82
366,Beroroha,2018-12-16,MG,-21.68,45.17,67,74.23,0,7.29
367,Dhamtari,2018-12-16,IN,20.71,81.55,65,63.83,76,9.31
368,Goderich,2018-12-16,CA,43.74,-81.71,87,32.78,80,11.99
369,Bahir Dar,2018-12-16,ET,11.59,37.39,83,48.13,12,2.71
370,Kalispell,2018-12-16,US,48.2,-114.32,77,24.98,1,2.04
371,Lorengau,2018-12-16,PG,-2.02,147.27,98,85.88,20,6.62
372,Ketchikan,2018-12-16,US,55.34,-131.65,79,41.0,90,23.04
373,Ambilobe,2018-12-16,MG,-13.19,49.05,86,68.24,12,2.93
374,Herat,2018-12-16,AF,34.35,62.22,74,37.4,0,2.15
375,Alpena,2018-12-16,US,45.06,-83.43,92,29.48,90,0.92
376,Calvinia,2018-12-16,ZA,-31.47,19.78,72,46.55,0,2.59
377,Ngunguru,2018-12-16,NZ,-35.62,174.5,90,69.59,0,10.65
378,Demyansk,2018-12-16,RU,57.64,32.46,80,15.86,68,6.4
379,Bathsheba,2018-12-16,BB,13.22,-59.52,69,78.8,40,25.28
380,Padang,2018-12-16,ID,-0.92,100.36,97,85.03,12,6.73
381,Shimonoseki,2018-12-16,JP,33.97,130.94,81,48.2,75,17.22
382,Wundanyi,2018-12-16,KE,-3.4,38.37,97,66.44,68,1.36
383,Florence,2018-12-16,US,34.8,-87.68,89,51.8,90,6.93
384,Bayevo,2018-12-16,RU,53.27,80.77,89,12.98,88,5.84
385,Lafiagi,2018-12-16,NG,8.85,5.42,72,67.97,0,2.71
386,Mercedes,2018-12-16,UY,-33.25,-58.03,72,64.01,0,8.75
387,Rio Grande,2018-12-16,BR,-32.03,-52.1,93,67.48,92,9.75
388,Gwadar,2018-12-16,PK,25.12,62.33,100,62.12,0,6.4
389,Naze,2018-12-16,NG,5.43,7.07,74,77.96,0,8.63
390,Roebourne,2018-12-16,AU,-20.77,117.15,25,88.45,0,14.67
391,Majitha,2018-12-16,IN,31.76,74.96,100,42.8,0,2.93
392,Pangai,2018-12-16,TO,-19.8,-174.35,83,84.2,40,8.05
393,Murray Bridge,2018-12-16,AU,-35.12,139.28,86,68.33,24,14.79
394,Tevaitoa,2018-12-16,PF,-16.78,-151.5,96,83.81,68,12.33
395,Rosarito,2018-12-16,CO,4.91,-75.23,83,73.4,75,5.82
396,Sortavala,2018-12-16,RU,61.7,30.69,76,3.31,24,2.93
397,Codajas,2018-12-16,BR,-3.84,-62.06,94,75.13,64,4.16
398,Tadine,2018-12-16,NC,-21.55,167.88,94,77.69,80,19.26
399,Mbarara,2018-12-16,UG,-0.61,30.65,92,55.1,20,2.71
400,Mersing,2018-12-16,MY,2.43,103.84,93,83.18,36,6.4
401,Tual,2018-12-16,ID,-5.67,132.75,100,76.25,92,10.87
402,Kloulklubed,2018-12-16,PW,7.04,134.26,70,86.0,75,12.75
403,Cobija,2018-12-16,BR,-11.02,-68.77,82,76.61,0,3.15
404,Sinazongwe,2018-12-16,ZM,-17.26,27.46,83,76.52,0,7.74
405,Aksarka,2018-12-16,RU,66.56,67.8,84,22.21,88,14.79
406,Benghazi,2018-12-16,LY,32.12,20.07,100,63.47,76,23.85
407,Karratha,2018-12-16,AU,-20.74,116.85,25,88.45,0,14.67
408,Flinders,2018-12-16,AU,-34.58,150.85,69,78.5,36,5.06
409,Krasnovishersk,2018-12-16,RU,60.4,57.08,91,17.93,80,4.16
410,Vanavara,2018-12-16,RU,60.35,102.28,60,0.83,0,6.73
411,Kroya,2018-12-16,ID,-6.5,108.06,83,86.11,8,3.15
412,Utete,2018-12-16,TZ,-7.99,38.76,99,72.02,24,2.93
413,Julio de Castilhos,2018-12-16,BR,-29.23,-53.68,83,73.91,80,6.17
414,Salalah,2018-12-16,OM,17.01,54.1,56,73.4,20,11.41
415,Old Town,2018-12-16,CZ,50.08,14.42,79,28.4,90,3.36
416,Katherine,2018-12-16,AU,-14.47,132.26,47,95.0,8,11.41
417,Krasnoarmeysk,2018-12-16,RU,56.12,38.15,84,14.0,40,4.47
418,Gravdal,2018-12-16,NO,59.79,5.78,56,41.0,0,26.4
419,Champerico,2018-12-16,MX,16.38,-93.6,68,64.4,75,12.75
420,Krasnyy,2018-12-16,RU,53.81,40.7,91,17.08,64,6.4
421,Kavieng,2018-12-16,PG,-2.57,150.8,99,87.23,48,5.39
422,Maloye Verevo,2018-12-16,RU,59.61,30.17,92,19.4,75,4.47
423,Shinshiro,2018-12-16,JP,34.95,137.53,58,53.6,40,14.99
424,Champasak,2018-12-16,LA,14.89,105.88,53,86.2,0,10.42
425,Axim,2018-12-16,GH,4.87,-2.24,100,82.55,8,14.0
426,Letterkenny,2018-12-16,IE,54.95,-7.73,96,46.46,36,17.36
427,Piopio,2018-12-16,CL,-42.79,-73.57,93,57.2,92,5.82
428,Rivadavia,2018-12-16,AR,-31.53,-68.59,58,67.52,0,2.93
429,West Plains,2018-12-16,US,36.73,-91.85,85,46.94,1,4.7
430,Cururupu,2018-12-16,BR,-1.82,-44.87,99,73.1,88,3.27
431,Oskaloosa,2018-12-16,US,39.22,-95.31,71,46.94,1,1.36
432,Viedma,2018-12-16,AR,-40.81,-62.99,21,76.88,8,18.14
433,Srednekolymsk,2018-12-16,RU,67.46,153.71,0,-47.55,8,2.37
434,Djambala,2018-12-16,CG,-2.55,14.76,99,68.11,80,5.95
435,Ercis,2018-12-16,TR,39.03,43.36,86,26.6,40,4.7
436,Katsuura,2018-12-16,JP,33.93,134.5,70,48.2,75,2.24
437,Erzin,2018-12-16,TR,36.95,36.2,81,50.0,75,9.17
438,Mehamn,2018-12-16,NO,71.03,27.85,100,18.74,0,4.61
439,Chambas,2018-12-16,CU,22.19,-78.91,94,77.0,75,1.12
440,Kondoa,2018-12-16,TZ,-4.91,35.78,92,59.06,88,2.82
441,North Bend,2018-12-16,US,43.41,-124.22,77,48.92,90,6.93
442,Klyuchi,2018-12-16,RU,52.25,79.17,66,8.21,32,6.73
443,Clyde River,2018-12-16,CA,70.47,-68.59,83,-4.01,90,21.92
444,Port Macquarie,2018-12-16,AU,-31.43,152.91,94,77.0,90,14.99
445,Janossomorja,2018-12-16,HU,47.79,17.14,74,30.2,90,5.82
446,Tanout,2018-12-16,NE,14.97,8.88,46,59.06,0,9.75
447,Punto Fijo,2018-12-16,VE,11.69,-70.21,68,79.45,0,21.27
448,Homer,2018-12-16,US,59.64,-151.54,88,28.94,1,3.36
449,Surgana,2018-12-16,IN,20.56,73.64,54,61.76,0,9.42
450,Sialkot,2018-12-16,PK,32.49,74.54,75,44.6,0,3.49
451,Kavalerovo,2018-12-16,RU,44.27,135.06,71,26.93,32,4.38
452,Ilhabela,2018-12-16,BR,-23.78,-45.36,100,75.8,48,2.82
453,Bambanglipuro,2018-12-16,ID,-7.95,110.28,87,79.94,92,4.72
454,Khromtau,2018-12-16,KZ,50.26,58.44,92,27.11,88,5.39
455,Turukhansk,2018-12-16,RU,65.8,87.96,60,-7.0,64,6.96
456,Baragua,2018-12-16,CU,21.7,-78.63,93,75.76,20,4.94
457,Sangin,2018-12-16,AF,32.07,64.85,81,33.91,0,4.72
458,Ostrovnoy,2018-12-16,RU,68.05,39.51,96,9.83,0,12.66
459,Beyneu,2018-12-16,KZ,45.32,55.19,87,31.97,88,8.41
460,Goya,2018-12-16,AR,-29.14,-59.27,91,71.98,80,9.08
461,Burriana,2018-12-16,ES,39.89,-0.08,62,55.4,0,17.22
462,Normandin,2018-12-16,CA,48.84,-72.53,84,32.0,90,8.05
463,Udachnyy,2018-12-16,RU,66.42,112.4,67,-10.33,48,3.83
464,Lubao,2018-12-16,PH,14.94,120.6,55,86.0,40,9.17
465,Kindia,2018-12-16,GN,10.05,-12.86,42,64.37,0,6.62
466,Mapastepec,2018-12-16,MX,15.44,-92.9,58,71.21,36,4.05
467,Kadaya,2018-12-16,RU,50.93,119.29,71,-0.48,0,5.17
468,Touros,2018-12-16,BR,-5.2,-35.46,83,75.2,20,3.36
469,Sabang,2018-12-16,PH,13.72,123.58,100,76.07,92,8.97
470,Mao,2018-12-16,DO,19.55,-71.08,94,77.0,20,6.93
471,Am Timan,2018-12-16,TD,11.04,20.28,44,59.78,0,4.94
472,Ruwi,2018-12-16,OM,23.6,58.55,72,66.2,20,3.36
473,Sobolevo,2018-12-16,RU,54.43,31.9,94,22.75,80,7.96
474,Sur,2018-12-16,OM,22.57,59.53,100,72.83,100,11.1
475,Dosso,2018-12-16,NE,13.05,3.19,37,67.16,0,12.21
476,Nizwa,2018-12-16,OM,22.93,57.53,75,46.82,0,2.59
477,Prince George,2018-12-16,CA,53.92,-122.75,79,24.8,40,5.82
478,Khao Yoi,2018-12-16,TH,13.24,99.82,61,80.6,20,9.17
479,Jinchang,2018-12-16,CN,38.52,102.19,49,14.38,0,4.61
480,Salinas,2018-12-16,US,36.67,-121.66,77,57.2,1,5.28
481,Kedrovyy,2018-12-16,RU,56.17,91.82,78,17.6,40,6.71
482,Tanabe,2018-12-16,JP,33.73,135.39,58,55.4,75,6.93
483,Boma,2018-12-16,NG,11.23,4.46,59,64.15,0,7.52
484,Kawalu,2018-12-16,ID,-7.38,108.21,79,77.65,12,3.04
485,Piacabucu,2018-12-16,BR,-10.41,-36.43,79,75.58,92,7.52
486,Amaigbo,2018-12-16,NG,5.78,7.83,77,73.06,0,7.74
487,Gat,2018-12-16,SN,14.69,-16.54,22,75.2,0,11.41
488,Road Town,2018-12-16,VG,18.42,-64.62,76,78.08,1,6.93
489,Tiksi,2018-12-16,RU,71.64,128.87,59,-12.9,48,3.94
490,Kilindoni,2018-12-16,TZ,-7.91,39.67,100,82.01,56,3.38
491,Tilichiki,2018-12-16,RU,60.47,166.1,41,-26.71,0,2.93
492,Kathu,2018-12-16,ZA,-27.7,23.05,78,61.36,8,6.85
493,Severo-Kurilsk,2018-12-16,RU,50.68,156.12,100,28.15,56,13.0
494,Huarmey,2018-12-16,PE,-10.07,-78.15,85,63.92,80,3.15
495,Sai Buri,2018-12-16,TH,6.7,101.62,94,78.8,75,3.15
496,Portobelo,2018-12-16,PA,9.55,-79.65,88,78.8,20,2.24
497,Dinghai,2018-12-16,CN,26.28,119.79,63,66.2,0,8.95
498,Pascagoula,2018-12-16,US,30.37,-88.56,82,53.96,90,4.7
499,Port Hardy,2018-12-16,CA,50.7,-127.42,87,42.8,90,27.51
500,Acari,2018-12-16,BR,-6.44,-36.64,86,70.58,0,10.87
501,Dalheim,2018-12-16,DE,50.57,8.48,54,30.2,1,8.05
502,Thongwa,2018-12-16,MM,16.76,96.52,83,77.0,40,3.36
503,Wattegama,2018-12-16,LK,7.35,80.68,95,73.01,80,3.6
504,Shetpe,2018-12-16,KZ,44.14,52.16,98,36.16,92,5.73
505,Dutse,2018-12-16,NG,11.76,9.34,54,57.76,0,5.39
506,Colorado,2018-12-16,BR,-22.84,-51.97,90,75.76,64,2.71
507,Santa Fe,2018-12-16,AR,-31.62,-60.7,72,65.27,0,7.96
508,Hervey Bay,2018-12-16,AU,-25.3,152.85,69,80.6,90,9.17
509,Filingue,2018-12-16,NE,14.35,3.32,44,64.19,0,10.98
510,Itaituba,2018-12-16,BR,-4.26,-55.99,92,76.03,88,2.82
511,Vilyuysk,2018-12-16,RU,63.75,121.63,82,0.56,48,3.49
512,Merauke,2018-12-16,ID,-8.49,140.4,100,76.66,92,6.17
513,Lerwick,2018-12-16,GB,60.15,-1.15,70,42.8,92,49.44
514,Duvan,2018-12-16,RU,55.69,57.9,86,4.34,56,2.93
515,Lachi,2018-12-16,PK,33.38,71.34,77,29.45,0,2.37
516,Mountain Home,2018-12-16,US,43.13,-115.69,64,39.02,1,12.75
517,Atambua,2018-12-16,ID,-9.11,124.89,100,82.55,36,11.43
518,Koumac,2018-12-16,NC,-20.56,164.28,61,83.5,64,6.96
519,Zelezna Ruda,2018-12-16,CZ,49.14,13.24,79,28.4,90,3.36
520,Fort Saint James,2018-12-16,CA,54.43,-124.25,69,24.55,80,7.63
521,Khovu-Aksy,2018-12-16,RU,51.13,93.72,54,-7.95,44,2.37
522,Marquette,2018-12-16,US,46.54,-87.4,81,33.98,0,8.05
523,Havre-Saint-Pierre,2018-12-16,CA,50.23,-63.6,79,26.6,20,16.11
524,Nanortalik,2018-12-16,GL,60.14,-45.24,92,27.11,88,3.27
525,Paamiut,2018-12-16,GL,61.99,-49.67,98,29.63,0,3.15
526,Benguela,2018-12-16,AO,-12.58,13.4,100,72.29,48,3.38
527,Changtu,2018-12-16,CN,42.78,124.11,65,26.93,0,4.27
528,Koroni,2018-12-16,GR,36.8,21.96,100,57.13,100,7.74
529,Lianzhou,2018-12-16,CN,24.79,112.38,78,47.63,0,2.93
530,Barra,2018-12-16,GM,13.49,-16.54,37,71.6,0,5.82
531,Birao,2018-12-16,CF,10.3,22.78,56,57.31,0,6.17
532,Sola,2018-12-16,NO,58.89,5.65,69,41.0,75,25.28
533,Parana,2018-12-16,BR,-7.52,-72.89,94,77.0,75,4.7
534,Phangnga,2018-12-16,TH,8.45,98.53,78,78.8,75,6.93
535,Poum,2018-12-16,MK,41.28,20.71,100,34.9,80,1.48
536,Bacolod,2018-12-16,PH,10.68,122.95,93,80.21,32,9.75
537,Stepnogorsk,2018-12-16,KZ,52.35,71.88,90,15.1,92,5.84
538,Cuamba,2018-12-16,MZ,-14.8,36.54,97,65.5,32,2.71
